ngram,ngram_str,count,n
"('87', '621', '602', '561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602')",87 621 602 561 242 13 542 353 87 621 602 561 242 13 87 353 542 87 621 602,3,20
"('621', '602', '561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602', '561')",621 602 561 242 13 542 353 87 621 602 561 242 13 87 353 542 87 621 602 561,3,20
"('602', '561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602', '561', '242')",602 561 242 13 542 353 87 621 602 561 242 13 87 353 542 87 621 602 561 242,2,20
"('561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602', '561', '242', '13')",561 242 13 542 353 87 621 602 561 242 13 87 353 542 87 621 602 561 242 13,2,20
"('258', '475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621')",258 475 294 353 169 371 607 353 169 622 595 586 586 586 10 44 624 103 418 621,2,20
"('475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274')",475 294 353 169 371 607 353 169 622 595 586 586 586 10 44 624 103 418 621 274,2,20
"('294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595')",294 353 169 371 607 353 169 622 595 586 586 586 10 44 624 103 418 621 274 595,2,20
"('353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196')",353 169 371 607 353 169 622 595 586 586 586 10 44 624 103 418 621 274 595 196,2,20
"('169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87')",169 371 607 353 169 622 595 586 586 586 10 44 624 103 418 621 274 595 196 87,2,20
"('371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87', '121')",371 607 353 169 622 595 586 586 586 10 44 624 103 418 621 274 595 196 87 121,2,20
"('607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87', '121', '274')",607 353 169 622 595 586 586 586 10 44 624 103 418 621 274 595 196 87 121 274,2,20
"('353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87', '121', '274', '87')",353 169 622 595 586 586 586 10 44 624 103 418 621 274 595 196 87 121 274 87,2,20
"('242', '13', '87', '353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209')",242 13 87 353 542 87 621 602 561 242 13 87 353 353 448 607 388 238 209 209,2,20
"('13', '87', '353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209', '41')",13 87 353 542 87 621 602 561 242 13 87 353 353 448 607 388 238 209 209 41,2,20
"('87', '353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209', '41', '104')",87 353 542 87 621 602 561 242 13 87 353 353 448 607 388 238 209 209 41 104,2,20
"('353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209', '41', '104', '542')",353 542 87 621 602 561 242 13 87 353 353 448 607 388 238 209 209 41 104 542,2,20
"('475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621')",475 294 353 169 371 607 353 169 622 595 586 586 586 10 44 533 103 242 417 621,2,20
"('294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274')",294 353 169 371 607 353 169 622 595 586 586 586 10 44 533 103 242 417 621 274,2,20
"('353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595')",353 169 371 607 353 169 622 595 586 586 586 10 44 533 103 242 417 621 274 595,2,20
"('169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196')",169 371 607 353 169 622 595 586 586 586 10 44 533 103 242 417 621 274 595 196,2,20
"('371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196', '87')",371 607 353 169 622 595 586 586 586 10 44 533 103 242 417 621 274 595 196 87,2,20
"('607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196', '87', '121')",607 353 169 622 595 586 586 586 10 44 533 103 242 417 621 274 595 196 87 121,2,20
"('353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196', '87', '121', '274')",353 169 622 595 586 586 586 10 44 533 103 242 417 621 274 595 196 87 121 274,2,20
"('169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196', '87', '121', '274', '87')",169 622 595 586 586 586 10 44 533 103 242 417 621 274 595 196 87 121 274 87,2,20
"('621', '595', '375', '607', '607', '607', '607', '586', '595', '353', '595', '420', '108', '34', '108', '353', '13', '351', '607', '595')",621 595 375 607 607 607 607 586 595 353 595 420 108 34 108 353 13 351 607 595,2,20
"('595', '375', '607', '607', '607', '607', '586', '595', '353', '595', '420', '108', '34', '108', '353', '13', '351', '607', '595', '242')",595 375 607 607 607 607 586 595 353 595 420 108 34 108 353 13 351 607 595 242,2,20
"('420', '108', '34', '108', '353', '13', '351', '607', '595', '242', '294', '13', '87', '621', '602', '561', '242', '13', '542', '353')",420 108 34 108 353 13 351 607 595 242 294 13 87 621 602 561 242 13 542 353,2,20
"('108', '34', '108', '353', '13', '351', '607', '595', '242', '294', '13', '87', '621', '602', '561', '242', '13', '542', '353', '87')",108 34 108 353 13 351 607 595 242 294 13 87 621 602 561 242 13 542 353 87,2,20
"('34', '108', '353', '13', '351', '607', '595', '242', '294', '13', '87', '621', '602', '561', '242', '13', '542', '353', '87', '621')",34 108 353 13 351 607 595 242 294 13 87 621 602 561 242 13 542 353 87 621,2,20
"('108', '353', '13', '351', '607', '595', '242', '294', '13', '87', '621', '602', '561', '242', '13', '542', '353', '87', '621', '602')",108 353 13 351 607 595 242 294 13 87 621 602 561 242 13 542 353 87 621 602,2,20
"('160', '242', '236', '611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126')",160 242 236 611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126,1,20
"('242', '236', '611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388')",242 236 611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388,1,20
"('236', '611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461')",236 611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461,1,20
"('611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294')",611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294,1,20
"('87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104')",87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104,1,20
"('353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126')",353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126,1,20
"('14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229')",14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229,1,20
"('542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209')",542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209,1,20
"('294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571')",294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571,1,20
"('242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48')",242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48,1,20
"('462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236')",462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236,1,20
"('493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34')",493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34,1,20
"('87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560')",87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560,1,20
"('462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595')",462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595,1,20
"('294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114')",294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114,1,20
"('422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353')",422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353,1,20
"('602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114')",602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114,1,20
"('353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353')",353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353,1,20
"('557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178')",557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178,1,20
"('126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104')",126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104,1,20
